Time, CPU (%), Memory (%), Disk Read (KB/s), Disk Write (KB/s)
17:06:54, 4.5, 9.5, 361136, 18028
17:06:55, 0.0, 9.5, 361136, 18028
17:06:56, 77.8, 9.5, 361136, 18028
17:06:57, 68.4, 9.5, 361136, 18028
17:06:59, 72.2, 9.5, 361136, 18028
17:07:00, 5.0, 9.5, 361136, 18028
17:07:01, 0.0, 9.5, 361136, 18028
17:07:02, 5.3, 9.5, 361136, 18028
17:07:04, 5.6, 9.5, 361136, 18028
17:07:05, 5.0, 9.5, 361136, 18028
17:07:06, 12.5, 9.5, 361136, 18028
17:07:07, 11.1, 9.5, 361136, 18028
17:07:09, 10.5, 9.5, 361136, 18028
17:07:10, 73.7, 9.5, 361136, 18028
17:07:11, 5.3, 9.5, 361136, 18028
17:07:12, 0.0, 9.5, 361136, 18028
17:07:14, 11.1, 9.5, 361136, 18028
17:07:15, 83.3, 9.5, 361136, 18028
17:07:16, 65.0, 9.5, 361136, 18028
17:07:17, 0.0, 9.5, 361136, 18028
17:07:19, 15.8, 9.5, 361136, 18028
17:07:20, 4.8, 9.5, 361136, 18028
17:07:21, 5.3, 9.5, 361136, 18028
17:07:22, 0.0, 9.5, 361136, 18028
17:07:24, 10.5, 9.5, 361136, 18028
17:07:25, 5.6, 9.5, 361136, 18028
17:07:26, 72.2, 9.5, 361136, 18028
17:07:27, 0.0, 9.5, 361136, 18028
17:07:29, 77.8, 9.5, 361136, 18028
17:07:30, 5.3, 9.5, 361136, 18028
17:07:31, 72.2, 9.5, 361136, 18028
17:07:32, 11.1, 9.5, 361136, 18028
17:07:34, 11.1, 9.5, 361136, 18028
17:07:35, 0.0, 9.5, 361136, 18028
17:07:36, 0.0, 9.5, 361136, 18028
17:07:37, 11.1, 9.5, 361136, 18028
17:07:39, 11.8, 9.5, 361136, 18028
17:07:40, 72.2, 9.5, 361136, 18028
17:07:41, 73.7, 9.5, 361136, 18028
17:07:42, 0.0, 9.5, 361136, 18028
17:07:44, 11.1, 9.5, 361136, 18028
17:07:45, 81.2, 9.5, 361136, 18028
17:07:46, 72.2, 9.5, 361136, 18028
17:07:47, 16.7, 9.5, 361136, 18028
17:07:49, 5.3, 9.5, 361136, 18028
17:07:50, 5.3, 9.5, 361136, 18028
17:07:51, 11.1, 9.5, 361136, 18028
17:07:52, 0.0, 9.5, 361136, 18028
17:07:54, 0.0, 9.5, 361136, 18028
17:07:55, 10.5, 9.5, 361136, 18028
17:07:56, 10.5, 9.5, 361136, 18028
17:07:57, 10.5, 9.5, 361136, 18028
17:07:59, 15.8, 9.5, 361136, 18028
17:08:00, 5.3, 9.5, 361136, 18028
17:08:01, 4.8, 9.5, 361136, 18028
17:08:02, 0.0, 9.5, 361136, 18028
17:08:04, 15.8, 9.5, 361136, 18028
17:08:05, 5.6, 9.5, 361136, 18028
17:08:06, 15.8, 9.5, 361136, 18028
17:08:07, 72.2, 9.5, 361136, 18028
